Date,Open,High,Low,Close,Adj Close,Volume
2019-08-12,199.619995,202.050003,199.149994,200.479996,200.479996,22481900
2019-08-13,201.020004,212.139999,200.479996,208.970001,208.970001,47218500
2019-08-14,203.160004,206.440002,202.589996,202.750000,202.750000,36547400
2019-08-15,203.460007,205.139999,199.669998,201.740005,201.740005,27227400
2019-08-16,204.279999,207.160004,203.839996,206.500000,206.500000,27620400
2019-08-19,210.619995,212.729996,210.029999,210.350006,210.350006,24413600
2019-08-20,210.880005,213.350006,210.320007,210.360001,210.360001,26884300
2019-08-21,212.990005,213.649994,211.600006,212.639999,212.639999,21535400
2019-08-22,213.190002,214.440002,210.750000,212.460007,212.460007,22253700
2019-08-23,209.429993,212.050003,201.000000,202.639999,202.639999,46818000
2019-08-26,205.860001,207.190002,205.059998,206.490005,206.490005,26043600
2019-08-27,207.860001,208.550003,203.529999,204.160004,204.160004,25873300
2019-08-28,204.100006,205.720001,203.320007,205.529999,205.529999,15938800
2019-08-29,208.500000,209.320007,206.660004,209.009995,209.009995,20990500
2019-08-30,210.160004,210.449997,207.199997,208.740005,208.740005,21143400
2019-09-03,206.429993,206.979996,204.220001,205.699997,205.699997,20023000
2019-09-04,208.389999,209.479996,207.320007,209.190002,209.190002,19188100
2019-09-05,212.000000,213.970001,211.509995,213.279999,213.279999,23913700
2019-09-06,214.050003,214.419998,212.509995,213.259995,213.259995,19362300
2019-09-09,214.839996,216.440002,211.070007,214.169998,214.169998,27309400
2019-09-10,213.860001,216.779999,211.710007,216.699997,216.699997,31777900
2019-09-11,218.070007,223.710007,217.729996,223.589996,223.589996,44289600
2019-09-12,224.800003,226.419998,222.860001,223.089996,223.089996,32226700
2019-09-13,220.000000,220.789993,217.020004,218.750000,218.750000,39763300
2019-09-16,217.729996,220.130005,217.559998,219.899994,219.899994,21158100
2019-09-17,219.960007,220.820007,219.119995,220.699997,220.699997,18318700
2019-09-18,221.059998,222.850006,219.440002,222.770004,222.770004,25340000
2019-09-19,222.009995,223.759995,220.369995,220.960007,220.960007,22060600
2019-09-20,221.380005,222.559998,217.470001,217.729996,217.729996,55413100
2019-09-23,218.949997,219.839996,217.649994,218.720001,218.720001,19165500
2019-09-24,221.029999,222.490005,217.190002,217.679993,217.679993,31190800
2019-09-25,218.550003,221.500000,217.139999,221.029999,221.029999,21903400
2019-09-26,220.000000,220.940002,218.830002,219.889999,219.889999,18833500
2019-09-27,220.539993,220.960007,217.279999,218.820007,218.820007,25352000
2019-09-30,220.899994,224.580002,220.789993,223.970001,223.970001,25977400
2019-10-01,225.070007,228.220001,224.199997,224.589996,224.589996,34805800
2019-10-02,223.059998,223.580002,217.929993,218.960007,218.960007,34612300
2019-10-03,218.429993,220.960007,215.130005,220.820007,220.820007,28606500
2019-10-04,225.639999,227.490005,223.889999,227.009995,227.009995,34619700
2019-10-07,226.270004,229.929993,225.839996,227.059998,227.059998,30576500
2019-10-08,225.820007,228.059998,224.330002,224.399994,224.399994,27955000
2019-10-09,227.029999,227.789993,225.639999,227.029999,227.029999,18692600
2019-10-10,227.929993,230.440002,227.300003,230.089996,230.089996,28253400
2019-10-11,232.949997,237.639999,232.309998,236.210007,236.210007,41698900
2019-10-14,234.899994,238.130005,234.669998,235.869995,235.869995,24106900
2019-10-15,236.389999,237.649994,234.880005,235.320007,235.320007,21840000
2019-10-16,233.369995,235.240005,233.199997,234.369995,234.369995,18475800
2019-10-17,235.089996,236.149994,233.520004,235.279999,235.279999,16896300
2019-10-18,234.589996,237.580002,234.289993,236.410004,236.410004,24358400
2019-10-21,237.520004,240.990005,237.320007,240.509995,240.509995,21811800
2019-10-22,241.160004,242.199997,239.619995,239.960007,239.960007,20573400
2019-10-23,242.100006,243.240005,241.220001,243.179993,243.179993,18957200
2019-10-24,244.509995,244.800003,241.809998,243.580002,243.580002,17318800
2019-10-25,243.160004,246.729996,242.880005,246.580002,246.580002,18330500
2019-10-28,247.419998,249.250000,246.720001,249.050003,249.050003,24112500
2019-10-29,248.970001,249.750000,242.570007,243.289993,243.289993,35660100
2019-10-30,244.759995,245.300003,241.210007,243.259995,243.259995,30950600
2019-10-31,247.240005,249.169998,237.259995,248.759995,248.759995,3476660000
